SubjID,Sex,Grade,Age,IQ,Reading_speed,Sound_change,Eyetracker
28_norm1,fem,1,7,35,93,0.95,1000Plus
29_norm1,fem,1,8,34,33,0.71,1000Plus
34_norm1,fem,1,7,34,79,0.95,1000Plus
36_norm1,fem,1,7,32,74,0.83,1000Plus
42_norm1,fem,1,7,30,113,1,1000Plus
45_norm1,fem,1,7,32,31,0.85,1000Plus
m57,fem,1,7,31,55,0.7,PortableDuo
m62,fem,1,8,34,69,0.6,PortableDuo
m63,fem,1,7,23,44,0.62,PortableDuo
m95,fem,1,7,35,94,0.62,PortableDuo
s127,fem,1,8,35,143,0.91,PortableDuo
s130,fem,1,8,32,44,0.79,PortableDuo
s144,fem,1,7,20,33,0.16,PortableDuo
s150,fem,1,7,33,101,0.7,PortableDuo
s152,fem,1,7,33,40,0.45,PortableDuo
s153,fem,1,8,36,108,0.83,PortableDuo
s36,fem,1,7,29,77,0.75,PortableDuo
s44,fem,1,8,29,48,0.83,PortableDuo
s45,fem,1,7,31,55,0.95,PortableDuo
s68,fem,1,7,28,45,0.45,PortableDuo
s9,fem,1,7,30,59,0.58,PortableDuo
varya_norm1,fem,1,7,34,56,0.92,1000Plus
30_norm1,masc,1,7,31,34,0.5,1000Plus
31_norm1,masc,1,8,36,96,0.96,1000Plus
32_norm1,masc,1,8,24,36,0.7,1000Plus
38_norm1,masc,1,7,27,40,0.13,1000Plus
39_norm1,masc,1,8,34,61,0.89,1000Plus
40_norm1,masc,1,8,25,68,0.17,1000Plus
43_norm1,masc,1,7,33,130,0.64,1000Plus
m12,masc,1,6,29,54,0.75,PortableDuo
m33,masc,1,7,33,114,0.87,PortableDuo
m44,masc,1,7,25,35,0.54,PortableDuo
m68,masc,1,7,29,64,1,PortableDuo
m76,masc,1,7,27,42,0.83,PortableDuo
m85,masc,1,7,33,93,0.95,PortableDuo
s11,masc,1,7,26,38,0.7,PortableDuo
s13,masc,1,7,27,59,0.45,PortableDuo
s132,masc,1,8,33,79,0.75,PortableDuo
s146,masc,1,8,29,42,0.62,PortableDuo
s155,masc,1,7,24,48,0.85,PortableDuo
s169,masc,1,7,32,52,0.72,PortableDuo
s2,masc,1,8,31,62,0.62,PortableDuo
s28,masc,1,7,27,65,0.79,PortableDuo
s3,masc,1,7,29,58,0.62,PortableDuo
s30,masc,1,7,29,75,0.79,PortableDuo
s33,masc,1,7,23,52,0.7,PortableDuo
s41,masc,1,8,26,71,0.85,PortableDuo
s6,masc,1,7,29,62,0.64,PortableDuo
s67,masc,1,8,26,32,0,PortableDuo
s87,masc,1,8,31,41,0.08,PortableDuo
s88,masc,1,8,20,41,0.75,PortableDuo
11_norm1,fem,2,9,28,71,0.91,1000Plus
20_norm1,fem,2,9,29,68,0.91,1000Plus
23_norm1,fem,2,9,31,95,0.87,1000Plus
26_norm1,fem,2,8,31,73,0.93,1000Plus
8_norm1,fem,2,8,23,61,0.12,1000Plus
9_norm1,fem,2,8,30,61,0.91,1000Plus
m3,fem,2,8,29,76,0.79,PortableDuo
m35,fem,2,8,25,80,0.91,PortableDuo
m6,fem,2,8,25,114,0.75,PortableDuo
m91,fem,2,8,33,66,1,PortableDuo
m99,fem,2,8,32,69,0.95,PortableDuo
s100,fem,2,9,32,77,0.87,PortableDuo
s101,fem,2,8,31,79,0.91,PortableDuo
s112,fem,2,9,33,104,0.75,PortableDuo
s128,fem,2,9,30,63,0.58,PortableDuo
s170,fem,2,8,34,60,0.54,PortableDuo
s173,fem,2,8,33,99,0.89,PortableDuo
s19,fem,2,8,36,69,0.66,PortableDuo
s20,fem,2,8,32,70,0.77,PortableDuo
s21,fem,2,8,32,65,0.85,PortableDuo
s50,fem,2,9,30,121,0.89,PortableDuo
s51,fem,2,9,35,116,0.62,PortableDuo
s72,fem,2,8,34,90,0.93,PortableDuo
s84,fem,2,8,33,62,0.7,PortableDuo
12_norm1,masc,2,8,32,60,0.62,1000Plus
13_norm1,masc,2,8,26,87,0.75,1000Plus
17_norm1,masc,2,8,27,60,0.87,1000Plus
18_norm1,masc,2,9,34,82,1,1000Plus
19_norm1,masc,2,9,35,77,0.95,1000Plus
22_norm1,masc,2,8,27,69,0.64,1000Plus
25_norm1,masc,2,8,34,73,0.79,1000Plus
m10,masc,2,8,34,63,0.62,PortableDuo
m22,masc,2,8,34,116,0.5,PortableDuo
m24,masc,2,8,31,72,0.66,PortableDuo
m72,masc,2,9,33,89,0.62,PortableDuo
m83,masc,2,9,25,98,1,PortableDuo
s138,masc,2,9,28,81,0.7,PortableDuo
s182,masc,2,8,33,70,0.85,PortableDuo
s61,masc,2,9,32,96,0.91,PortableDuo
s92,masc,2,8,34,60,0.54,PortableDuo
15_norm1,fem,3,9,33,128,0.95,1000Plus
3_norm1,fem,3,9,29,104,0.77,1000Plus
4_norm1,fem,3,9,35,128,0.93,1000Plus
5_norm1,fem,3,9,35,97,1,1000Plus
m102,fem,3,9,33,77,0.87,PortableDuo
m19,fem,3,9,30,98,0.95,PortableDuo
m5,fem,3,9,31,109,0.66,PortableDuo
m51,fem,3,9,32,84,0.75,PortableDuo
m71,fem,3,9,33,96,0.81,PortableDuo
s113,fem,3,10,27,91,0.75,PortableDuo
s136,fem,3,10,32,75,0.91,PortableDuo
s143,fem,3,10,30,102,0.7,PortableDuo
s176,fem,3,9,34,84,0.81,PortableDuo
s23,fem,3,9,25,97,0.5,PortableDuo
s31,fem,3,9,34,109,0.89,PortableDuo
